obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 6.0;1585180;39486;22756;11050;7772;7201;6695;4375; NA; NA; NA;1684515;  X*
2; 7.0;562490;192748;23826;12236;7861;18920;13997;7253; NA; NA; NA;839331;  X*
3; 8.0;272934;93095;66967;24869;33495;21612;5639;10699; NA; NA; NA;529310;  X*
4; 9.0;975414;170755;11425;15917;16880;19567;21726;18560;41;30; NA;1250244;  X*
5; 10.0;120904;31849;4363;3357;4068;7229;13532;3283;64;27; NA;188585;  X*
6; 11.0;186750;7619;1157;2766;5611;6530;5904;3412;88;24; NA;219749;  X*
7; 12.0;95791;107191;15258;15191;24768;19963;24300;5496;81;21; NA;307958;  X*
8; 13.0;164708;5248;6478;1927;1095;3623;1812;1923;87;48; NA;186814;  X*
9; 14.0;16405;30978;9879;1082;6152;11390;4523;3573;70;50; NA;83982;  X*
10; 15.0;44178;35555;15217;8245;20054;7038;8412;3694;37;56; NA;142393;  X*
11; 16.0;324131;138395;32190;19676;12442;12951;7111;12585;26;63; NA;559481;  X*
12; 17.0;289117;178567;25694;61739;11932;10819;10206;8983;1;53; NA;597057;  X*
13; 18.0;90432;65988;7393;11048;7413;6745;4875;6233;1;54; NA;200127;  X*
14; 19.0;105402;47695;12207;16082;14065;10361;11433;5305;1;54; NA;222550;  X*
15; 20.0;946088;127676;30963;16781;27716;18298;17530;10813;16;53; NA;1195865;  X*
16; 21.0;50747;14614;21850;24017;18357;12438;14299;8903;43;64; NA;165225;  X*
17; 22.0;50826;6297;14024;16820;15592;11588;5796;3925;64;81; NA;124868;  X*
18; 23.0;33526;62050;4241;1023;4828;10554;7978;6998;64;57; NA;131198;  X*
19; 24.0;30286;63626;17964;19533;13428;7964;12863;9122;61;64; NA;174786;  X*
20; 25.0;141819;21372;3270;793;2749;2076;2243;2094;48;41; NA;176416;  X*
21; 26.0;17593;19693;4571;5476;4425;7048;2304;2721;43;26; NA;63831;  X*
22; 27.0;16475;19765;39180;10137;5298;3964;3937;2650;27;66; NA;101406;  X*
23; 28.0;193216;175724;27750;16860;6324;9268;10167;4849;17;56; NA;444158;  X*
24; 29.0;49587;13217;1579;864;3774;8424;5964;4073;47;50; NA;87482;  X*
25; 30.0;16397;27863;4567;5181;25794;17984;6144;3789;56;38; NA;107719;  X*
26; 31.0;76561;68059;8578;6100;6950;7680;6591;3653;64;10; NA;184172;  X*
27; 32.0;9781;17275;27371;8703;6119;11639;15200;12295;90;27; NA;108383;  X*
28; 33.0;268278;69433;12631;4773;11327;2659;1285;2674;48;38; NA;373060;  X*
29; 34.0;56045;36338;26833;2247;18692;10954;9494;4939;34;53; NA;165542;  X*
30; 35.0;21898;16841;44653;4826;10211;6779;7865;5832;35;78; NA;118905;  X*
31; 36.0;7611;10482;7689;18339;11587;4723;9717;7036;29;78; NA;77184;  X*
32; 37.0;370559;7449;14705;9795;4579;4944;6384;5296;53;100; NA;423711;  X*
33; 38.0;6379;3311;16035;578;2923;2046;1846;568;47;100; NA;33686;  X*
34; 39.0;5268;3025;2575;2704;2377;1382;1220;1287;53;100; NA;19838;  X*
35; 40.0;23067;11318;2401;6690;4129;4826;2670;1350;61;100; NA;56451;  X*
36; 41.0;144872;27856;29246;6210;2855;4667;3640;1991;51;94; NA;221337;  X*
37; 42.0;39102;14749;9545;3949;9236;10817;3480;2068;70;75; NA;92946;  X*
38; 43.0;25620;6193;12854;5130;4674;8441;8369;3416;84;77; NA;74697;  X*
